accession	db	ensdarg
A0A0J9YJ76	Ensembl	ENSDARG00000104451.2
A0A0J9YJA5	Ensembl	ENSDARG00000103852.2
A0A0J9YJF8	Ensembl	ENSDARG00000003328.11
A0A0J9YJK3	Ensembl	ENSDARG00000010794.8
A0A0R4I9C3	Ensembl	ENSDARG00000039910.6
A0A0R4IBF2	Ensembl	ENSDARG00000103118.2
A0A0R4IFI7	Ensembl	ENSDARG00000101465.3
A0A0R4IFJ0	Ensembl	ENSDARG00000036695.9
A0A0R4IK67	Ensembl	ENSDARG00000061458.8
A0A0R4IKN3	Ensembl	ENSDARG00000016470.9
A0A0R4IML1	Ensembl	ENSDARG00000100885.2
A0A0R4IRF6	Ensembl	ENSDARG00000094995.3
A0A0R4ISG7	Ensembl	ENSDARG00000102602.3
A0A0R4ISX3	Ensembl	ENSDARG00000099269.2
A0A0R4IVV5	Ensembl	ENSDARG00000101062.2
A0A140LG84	Ensembl	ENSDARG00000034344.11
A0A140LGP5	Ensembl	ENSDARG00000076534.7
E7FE03	Ensembl	ENSDARG00000013669.9
A0A1D5NS64	Ensembl	ENSDARG00000052578.8
A0A1D5NSK2	Ensembl	ENSDARG00000105590.2
A0A1D5NSL5	Ensembl	ENSDARG00000091111.4
A0A1D5NT19	Ensembl	ENSDARG00000078055.5
A0A2R8QAT3	Ensembl	ENSDARG00000103226.2
A0A2R8QB22	Ensembl	ENSDARG00000039521.6
A0A2R8QFH6	Ensembl	ENSDARG00000111341.1
A0A2R8QK71	Ensembl	ENSDARG00000059931.6
A0A2R8QR31	Ensembl	ENSDARG00000086091.4
E7FGC6	Ensembl	ENSDARG00000090844.4
A0A0R4IA73	Ensembl	ENSDARG00000097478.3
A0A0R4IB83	Ensembl	ENSDARG00000018270.11
A0A0R4IB89	Ensembl	ENSDARG00000090054.4
A0A0R4IDZ8	Ensembl	ENSDARG00000100729.2
A0A0R4IEP5	Ensembl	ENSDARG00000098802.3
A0A0R4IF98	Ensembl	ENSDARG00000099587.2
A0A0R4IFW7	Ensembl	ENSDARG00000103907.2
A0A0R4IGG7	Ensembl	ENSDARG00000076667.4
A0A0R4II48	Ensembl	ENSDARG00000104064.2
A0A0R4IJ28	Ensembl	ENSDARG00000101307.3
A0A0R4IJ31	Ensembl	ENSDARG00000096804.3
A0A0R4IK39	Ensembl	ENSDARG00000100027.2
A0A0R4IM64	Ensembl	ENSDARG00000104279.2
A0A0R4IN49	Ensembl	ENSDARG00000063097.7
A0A0R4ITE3	Ensembl	ENSDARG00000079665.5
A0A0R4IUF8	Ensembl	ENSDARG00000099339.4
A0A0R4IV23	Ensembl	ENSDARG00000099791.2
A0A0R4IY01	Ensembl	ENSDARG00000070952.8
A0A0R4IZE6	Ensembl	ENSDARG00000079664.3
F1QT29	Ensembl	ENSDARG00000101175.2
F1QZF5	Ensembl	ENSDARG00000099273.2
A0A140LG34	Ensembl	ENSDARG00000052765.8
A0A140LG95	Ensembl	ENSDARG00000037292.8
A0A140LGX8	Ensembl	ENSDARG00000021392.10
A0A140LH09	Ensembl	ENSDARG00000060771.9
A0A1L1QZD7	Ensembl	ENSDARG00000074298.7
E9QG06	Ensembl	ENSDARG00000090697.4
E9QGL6	Ensembl	ENSDARG00000092290.2
E9QGU2	Ensembl	ENSDARG00000075730.4
E9QIK2	Ensembl	ENSDARG00000036036.8
F1Q819	Ensembl	ENSDARG00000003411.8
F1QRA6	Ensembl	ENSDARG00000042188.9
F1QY99	Ensembl	ENSDARG00000037199.5
F1RB21	Ensembl	ENSDARG00000076735.5
U3JAR6	Ensembl	ENSDARG00000055284.7
A2CEP2	Ensembl	ENSDARG00000035470.9
B2GQY4	Ensembl	ENSDARG00000046132.5
E9QEU5	Ensembl	ENSDARG00000077768.5
F1QDP4	Ensembl	ENSDARG00000074645.4
F1QK42	Ensembl	ENSDARG00000069368.7
F1QK59	Ensembl	ENSDARG00000005221.8
F1R5K6	Ensembl	ENSDARG00000077847.7
F1R816	Ensembl	ENSDARG00000033231.9
F1R993	Ensembl	ENSDARG00000056499.8
F1RBU0	Ensembl	ENSDARG00000058088.8
F1RBX4	Ensembl	ENSDARG00000078647.5
F1REB8	Ensembl	ENSDARG00000007129.11
I3ISI6	Ensembl	ENSDARG00000044615.8
A3KQV0	Ensembl	ENSDARG00000093457.2
A7MD76	Ensembl	ENSDARG00000093684.2
A8E7S3	Ensembl	ENSDARG00000016233.7
B8JIN6	Ensembl	ENSDARG00000056616.6
H2D7E7	Ensembl	ENSDARG00000014490.10
I3IT12	Ensembl	ENSDARG00000073718.5
Q1LUI6	Ensembl	ENSDARG00000060944.8
A2AR69	Ensembl	ENSDARG00000056037.7
A3KQ75	Ensembl	ENSDARG00000087363.3
B0S7D2	Ensembl	ENSDARG00000035820.6
B7ZDE2	Ensembl	ENSDARG00000008413.12
F6PC12	Ensembl	ENSDARG00000056162.9
Q1LUZ8	Ensembl	ENSDARG00000010029.10
Q1LYG9	Ensembl	ENSDARG00000061829.5
R4GDU4	Ensembl	ENSDARG00000004633.11
A0A2R8QTU4	Ensembl	ENSDARG00000114489.1
A0A2R8PX16	Ensembl	ENSDARG00000105490.2
A0A2R8PX59	Ensembl	ENSDARG00000116131.1
A0A2R8Q2H5	Ensembl	ENSDARG00000094665.2
A0A2R8Q3D6	Ensembl	ENSDARG00000109444.1
A0A2R8Q582	Ensembl	ENSDARG00000010023.8
A0A2R8Q5J3	Ensembl	ENSDARG00000115295.1
A0A2R8Q6W6	Ensembl	ENSDARG00000111040.1
A0A2R8Q832	Ensembl	ENSDARG00000091349.4
A0A2R8Q8G0	Ensembl	ENSDARG00000114549.1
A0A2R8QA82	Ensembl	ENSDARG00000094387.2
A0A2R8QAE1	Ensembl	ENSDARG00000116066.1
A0A2R8QC51	Ensembl	ENSDARG00000034210.11
A0A2R8QFS6	Ensembl	ENSDARG00000087306.3
A0A2R8QHK6	Ensembl	ENSDARG00000103900.2
A0A2R8QHX4	Ensembl	ENSDARG00000092806.4
A0A2R8QKS8	Ensembl	ENSDARG00000070590.5
A0A2R8QL35	Ensembl	ENSDARG00000020334.10
A0A2R8QLQ1	Ensembl	ENSDARG00000029168.9
A0A2R8QMX1	Ensembl	ENSDARG00000113605.1
A0A2R8QSF1	Ensembl	ENSDARG00000073915.4
A0A2R8QSU3	Ensembl	ENSDARG00000110220.1
A0A2R8QUA7	Ensembl	ENSDARG00000024964.9
A0A2R8RPE9	Ensembl	ENSDARG00000110173.1
A0A2R8RQ51	Ensembl	ENSDARG00000111937.1
A0A2R8RQG7	Ensembl	ENSDARG00000104897.2
A0A2R8RRV0	Ensembl	ENSDARG00000112547.1
A0A2R8RT51	Ensembl	ENSDARG00000115642.1
A0A2R8RTS0	Ensembl	ENSDARG00000115216.1
A0A2R8RWM0	Ensembl	ENSDARG00000069244.7
A0A286YAE3	Ensembl	ENSDARG00000092155.3
A0A2R8PXF1	Ensembl	ENSDARG00000109648.1
A0A2R8Q1V1	Ensembl	ENSDARG00000092624.4
A0A2R8Q2K4	Ensembl	ENSDARG00000017696.8
A0A2R8Q2S2	Ensembl	ENSDARG00000098990.2
A0A2R8Q3F3	Ensembl	ENSDARG00000115627.1
A0A2R8Q653	Ensembl	ENSDARG00000077531.4
A0A2R8Q8U6	Ensembl	ENSDARG00000113423.1
A0A2R8QC32	Ensembl	ENSDARG00000034001.9
A0A2R8QD14	Ensembl	ENSDARG00000099775.2
A0A2R8QE52	Ensembl	ENSDARG00000111990.1
A0A2R8QET5	Ensembl	ENSDARG00000109235.1
A0A2R8QKX7	Ensembl	ENSDARG00000026024.8
A0A2R8QM70	Ensembl	ENSDARG00000113561.1
A0A2R8QRK9	Ensembl	ENSDARG00000005590.11
A0A2R8RIM0	Ensembl	ENSDARG00000060723.8
A0A2R8RZQ1	Ensembl	ENSDARG00000067796.6
A0A2R8Q401	Ensembl	ENSDARG00000100594.2
A0A2R8Q621	Ensembl	ENSDARG00000101459.2
A0A2R8QCG2	Ensembl	ENSDARG00000109448.1
A0A2R8QEH5	Ensembl	ENSDARG00000079542.5
A0A2R8QF55	Ensembl	ENSDARG00000117103.1
A0A2R8QG20	Ensembl	ENSDARG00000109373.1
A0A2R8QKB9	Ensembl	ENSDARG00000112143.1
A0A2R8QQ33	Ensembl	ENSDARG00000100578.2
A0A2R8QSP5	Ensembl	ENSDARG00000104064.2
A0A2R8QT09	Ensembl	ENSDARG00000015278.10
A0A2R8PYT4	Ensembl	ENSDARG00000111314.1
A0A2R8PZ19	Ensembl	ENSDARG00000115454.1
A0A2R8PZS9	Ensembl	ENSDARG00000060096.7
A0A2R8Q2T3	Ensembl	ENSDARG00000112810.1
A0A2R8Q301	Ensembl	ENSDARG00000058379.6
A0A2R8QAL0	Ensembl	ENSDARG00000116131.1
A0A2R8QBT0	Ensembl	ENSDARG00000112209.1
A0A2R8QBV4	Ensembl	ENSDARG00000115681.1
A0A2R8QCS5	Ensembl	ENSDARG00000113004.1
A0A2R8QF16	Ensembl	ENSDARG00000032161.9
A0A2R8QFJ1	Ensembl	ENSDARG00000114501.1
A0A2R8QLL7	Ensembl	ENSDARG00000103129.3
A0A2R8QLN6	Ensembl	ENSDARG00000063411.6
A0A2R8QMF5	Ensembl	ENSDARG00000114763.1
A0A2R8QNB0	Ensembl	ENSDARG00000069808.7
A0A2R8QR29	Ensembl	ENSDARG00000112337.1
A0A2R8QR61	Ensembl	ENSDARG00000100061.2
A0A2R8RHT0	Ensembl	ENSDARG00000059600.6
A0A2R8RLF3	Ensembl	ENSDARG00000095940.2
A0A2R8RUH1	Ensembl	ENSDARG00000075706.5
A0A2R8RVW0	Ensembl	ENSDARG00000068125.7
A0A2R8S055	Ensembl	ENSDARG00000114575.1
A0A2R8QPR2	Ensembl	ENSDARG00000053835.5
A0A2R8QT00	Ensembl	ENSDARG00000106357.2
E7F9J1	Ensembl	ENSDARG00000067796.6
E7FDS4	Ensembl	ENSDARG00000068719.6
X1WEX5	Ensembl	ENSDARG00000060512.7
X1WFG4	Ensembl	ENSDARG00000097155.2
X1WFU5	Ensembl	ENSDARG00000097193.3
X1WHE0	Ensembl	ENSDARG00000096070.3
X1WHG7	Ensembl	ENSDARG00000105797.2
X1WHT0	Ensembl	ENSDARG00000106749.2
H0WE47	Ensembl	ENSDARG00000109697.1
A0A286Y8K7	Ensembl	ENSDARG00000073810.7
A0A286Y8T0	Ensembl	ENSDARG00000108937.2
A0A286Y931	Ensembl	ENSDARG00000107576.2
A0A286Y940	Ensembl	ENSDARG00000108525.2
A0A286YAT1	Ensembl	ENSDARG00000059801.9
E7FE23	Ensembl	ENSDARG00000078685.4
E7EZE3	Ensembl	ENSDARG00000023495.9
E7F2K6	Ensembl	ENSDARG00000056062.6
E7F2K8	Ensembl	ENSDARG00000007824.11
E7F5X7	Ensembl	ENSDARG00000078378.4
E7FBQ4	Ensembl	ENSDARG00000077316.4
E7FD83	Ensembl	ENSDARG00000077465.5
F1Q8F1	Ensembl	ENSDARG00000053248.6
F1Q8F2	Ensembl	ENSDARG00000039534.7
F1Q9S8	Ensembl	ENSDARG00000078773.4
F1QCB3	Ensembl	ENSDARG00000117188.1
F1QFT1	Ensembl	ENSDARG00000111800.1
F1QQD4	Ensembl	ENSDARG00000057672.8
F1QTF8	Ensembl	ENSDARG00000032808.9
F1QU24	Ensembl	ENSDARG00000010070.11
F1QWQ8	Ensembl	ENSDARG00000011027.12
F1R5Z2	Ensembl	ENSDARG00000002847.11
F1R931	Ensembl	ENSDARG00000062154.9
F1R9A5	Ensembl	ENSDARG00000090116.4
F1RDI9	Ensembl	ENSDARG00000115698.1
A0A8E7UEI8	Ensembl	ENSDARG00000094860.3
A2BFW0	Ensembl	ENSDARG00000018898.10
A2BG14	Ensembl	ENSDARG00000002986.10
A8HAM0	Ensembl	ENSDARG00000095528.4
B0UY60	Ensembl	ENSDARG00000032630.10
E7FDL7	Ensembl	ENSDARG00000051763.6
E7FFW5	Ensembl	ENSDARG00000079602.3
E9QC56	Ensembl	ENSDARG00000062606.7
F1QMB4	Ensembl	ENSDARG00000061951.8
F1QVU9	Ensembl	ENSDARG00000035859.9
F1QW20	Ensembl	ENSDARG00000014939.12
F1QW62	Ensembl	ENSDARG00000093835.3
F1QZ80	Ensembl	ENSDARG00000020981.11
G8HXD5	Ensembl	ENSDARG00000037186.8
Q1LVM0	Ensembl	ENSDARG00000069101.6
Q1LWW6	Ensembl	ENSDARG00000035678.6
Q5RIC1	Ensembl	ENSDARG00000042000.7
G1K2F5	Ensembl	ENSDARG00000002790.9
E9QCI6	Ensembl	ENSDARG00000054400.7
E9QJP9	Ensembl	ENSDARG00000037324.8
F8W616	Ensembl	ENSDARG00000005115.10
E7F0E8	Ensembl	ENSDARG00000078041.4
E7F3Z8	Ensembl	ENSDARG00000115710.1
F1Q752	Ensembl	ENSDARG00000078508.5
E7F4P5	Ensembl	ENSDARG00000071238.5
F1Q618	Ensembl	ENSDARG00000074332.6
F1Q966	Ensembl	ENSDARG00000044956.8
F1QCS1	Ensembl	ENSDARG00000054250.6
F1QFJ1	Ensembl	ENSDARG00000010246.10
F1QGH1	Ensembl	ENSDARG00000038981.7
F1QHK9	Ensembl	ENSDARG00000037101.6
F1QKW6	Ensembl	ENSDARG00000092027.2
F1QZ78	Ensembl	ENSDARG00000023498.8
F1R494	Ensembl	ENSDARG00000095438.2
F1R6U9	Ensembl	ENSDARG00000013838.10
F1R736	Ensembl	ENSDARG00000112226.1
F1R8J8	Ensembl	ENSDARG00000055903.7
F1RAC0	Ensembl	ENSDARG00000006901.9
F1RAD9	Ensembl	ENSDARG00000007624.9
A0A0A0MPT6	Ensembl	ENSDARG00000079253.7
A2CF42	Ensembl	ENSDARG00000060683.4
E7F9B0	Ensembl	ENSDARG00000078868.5
E7F9B4	Ensembl	ENSDARG00000036428.7
E7FBL2	Ensembl	ENSDARG00000110129.1
F1Q577	Ensembl	ENSDARG00000114431.1
F1Q8T0	Ensembl	ENSDARG00000071116.4
F1QMA1	Ensembl	ENSDARG00000058571.5
F1QMZ4	Ensembl	ENSDARG00000088950.4
F1QU86	Ensembl	ENSDARG00000076104.6
F1QVN3	Ensembl	ENSDARG00000054473.6
F1R0A8	Ensembl	ENSDARG00000045945.5
F1R350	Ensembl	ENSDARG00000013005.7
F1R489	Ensembl	ENSDARG00000078508.5
F1R937	Ensembl	ENSDARG00000058421.7
A2BFZ1	Ensembl	ENSDARG00000032039.9
E9QBA4	Ensembl	ENSDARG00000013860.11
F6NR87	Ensembl	ENSDARG00000070228.7
F6P8I0	Ensembl	ENSDARG00000036743.5
E9QBY1	Ensembl	ENSDARG00000016573.10
E9QC74	Ensembl	ENSDARG00000069461.4
E9QD80	Ensembl	ENSDARG00000014324.10
E9QGD1	Ensembl	ENSDARG00000087916.3
F1QK49	Ensembl	ENSDARG00000009482.10
F1RBZ4	Ensembl	ENSDARG00000063444.7
E9QHI7	Ensembl	ENSDARG00000086775.5
U3JAQ0	Ensembl	ENSDARG00000043019.9
E9QFE8	Ensembl	ENSDARG00000062674.7
E9QHV7	Ensembl	ENSDARG00000076055.7
F1QDP8	Ensembl	ENSDARG00000063180.8
F1QZG4	Ensembl	ENSDARG00000012777.12
B8JHX5	Ensembl	ENSDARG00000092738.2
F6P6F9	Ensembl	ENSDARG00000040538.8
F6PBT6	Ensembl	ENSDARG00000020028.12
H0WEK0	Ensembl	ENSDARG00000094017.4
Q5RG89	Ensembl	ENSDARG00000094010.4
Q5RH30	Ensembl	ENSDARG00000045525.7
Q5VSC9	Ensembl	ENSDARG00000028354.12
Q6IQB8	Ensembl	ENSDARG00000032242.6
Q7ZZR5	Ensembl	ENSDARG00000059073.6
A2BHS0	Ensembl	ENSDARG00000058365.6
B8A4P2	Ensembl	ENSDARG00000026170.10
F6NNN9	Ensembl	ENSDARG00000005789.11
Q1L9C0	Ensembl	ENSDARG00000092274.2
R4GEW2	Ensembl	ENSDARG00000096567.2
Z4YIT3	Ensembl	ENSDARG00000059707.9
F8W4M9	Ensembl	ENSDARG00000056892.9
F8W5J7	Ensembl	ENSDARG00000042613.8
X1WBV9	Ensembl	ENSDARG00000097540.3
X1WD55	Ensembl	ENSDARG00000063233.7
X1WDE3	Ensembl	ENSDARG00000097564.3
X1WHH2	Ensembl	ENSDARG00000114577.1
X1WDM1	Ensembl	ENSDARG00000056181.8
X1WFP8	Ensembl	ENSDARG00000063229.8
A0A0G2KGT1	Ensembl	ENSDARG00000105711.2
A0A0G2KRQ9	Ensembl	ENSDARG00000104974.2
A0A0G2LAX4	Ensembl	ENSDARG00000098118.3
A0A0J9YJ17	Ensembl	ENSDARG00000088171.4
A0A0R4IDS7	Ensembl	ENSDARG00000089976.3
A0A0R4IFP6	Ensembl	ENSDARG00000105011.3
A0A0R4IIR3	Ensembl	ENSDARG00000105215.2
A0A0R4IPK8	Ensembl	ENSDARG00000104064.2
A0A0R4IVM7	Ensembl	ENSDARG00000100808.2
F8W292	Ensembl	ENSDARG00000056690.10
F8W4S9	Ensembl	ENSDARG00000022532.11
F8W338	Ensembl	ENSDARG00000019579.12
E7FAL8	Ensembl	ENSDARG00000075053.4
F1QAX1	Ensembl	ENSDARG00000053215.10
F1QB94	Ensembl	ENSDARG00000059233.9
F1QG35	Ensembl	ENSDARG00000068551.3
F1QQ06	Ensembl	ENSDARG00000021239.10
F1QSC5	Ensembl	ENSDARG00000116113.1
A0A0R4J7R2	Ensembl	ENSDARG00000075752.6
E7EY32	Ensembl	ENSDARG00000075281.4
E7FA16	Ensembl	ENSDARG00000088083.3
E7FFP7	Ensembl	ENSDARG00000077410.6
E7FG94	Ensembl	ENSDARG00000088546.3
F1Q9K7	Ensembl	ENSDARG00000071217.7
F1QF15	Ensembl	ENSDARG00000052438.6
F1QSM3	Ensembl	ENSDARG00000044002.7
F1QT76	Ensembl	ENSDARG00000087148.2
F1R2L8	Ensembl	ENSDARG00000032117.11
F1R2T2	Ensembl	ENSDARG00000062402.8
F1R3V1	Ensembl	ENSDARG00000058230.5
F1RDN1	Ensembl	ENSDARG00000075612.6
R4GEF3	Ensembl	ENSDARG00000032614.11
B0UYJ4	Ensembl	ENSDARG00000043666.5
B0V1K7	Ensembl	ENSDARG00000055186.4
B8JMG4	Ensembl	ENSDARG00000009134.9
F1QHQ1	Ensembl	ENSDARG00000057352.8
F1QVP2	Ensembl	ENSDARG00000111837.1
F1R471	Ensembl	ENSDARG00000070454.7
F1R9R3	Ensembl	ENSDARG00000028614.6
F1RDH0	Ensembl	ENSDARG00000063555.7
F6PDD5	Ensembl	ENSDARG00000041389.7
F6PFI6	Ensembl	ENSDARG00000054984.8
Q1LX37	Ensembl	ENSDARG00000069515.7
Q1LYC5	Ensembl	ENSDARG00000009939.9
Q1LYJ6	Ensembl	ENSDARG00000070930.6
M9MMC2	Ensembl	ENSDARG00000111761.1
M9MMA9	Ensembl	ENSDARG00000095068.3
F8W2K3	Ensembl	ENSDARG00000056087.6
A0A0G2KGT5	Ensembl	ENSDARG00000098811.2
A0A0G2L0F5	Ensembl	ENSDARG00000100946.3
A0A0G2L0U1	Ensembl	ENSDARG00000101876.2
A0A0R4IBM0	Ensembl	ENSDARG00000104314.2
A0A0R4ID15	Ensembl	ENSDARG00000018619.10
A0A0H2UKL7	Ensembl	ENSDARG00000110642.1
A0A0R4IL29	Ensembl	ENSDARG00000102808.3
A0A0R4IMI3	Ensembl	ENSDARG00000102147.2
X1WF61	Ensembl	ENSDARG00000098240.2
A0A0R4IB64	Ensembl	ENSDARG00000094881.3
A0A0R4IC10	Ensembl	ENSDARG00000071673.6
A0A0R4IC40	Ensembl	ENSDARG00000111614.1
A0A0R4IFH4	Ensembl	ENSDARG00000098466.3
A0A0R4IJN4	Ensembl	ENSDARG00000099694.2
A0A0R4ILV6	Ensembl	ENSDARG00000101220.2
A0A0R4IMB2	Ensembl	ENSDARG00000043719.5
A0A0R4IMY5	Ensembl	ENSDARG00000070266.8
A0A0R4IP82	Ensembl	ENSDARG00000003290.12
A0A0R4IPP5	Ensembl	ENSDARG00000099969.2
A0A0R4IVF2	Ensembl	ENSDARG00000100968.2
A0A1D5NSI3	Ensembl	ENSDARG00000077506.8
E9QBU3	Ensembl	ENSDARG00000094770.3
E9QJK3	Ensembl	ENSDARG00000089570.4
A0A0R4J7G3	Ensembl	ENSDARG00000055412.8
E9QFD1	Ensembl	ENSDARG00000044015.7
F1QKN3	Ensembl	ENSDARG00000026406.8
F1QL75	Ensembl	ENSDARG00000079095.5
F1QX19	Ensembl	ENSDARG00000044090.5
M9MMG0	Ensembl	ENSDARG00000096259.2
U3JAA3	Ensembl	ENSDARG00000002877.12
B0UYL4	Ensembl	ENSDARG00000006422.8
B0V2S3	Ensembl	ENSDARG00000075694.4
B3DFW1	Ensembl	ENSDARG00000042621.5
B3DG57	Ensembl	ENSDARG00000014722.8
B8JHX0	Ensembl	ENSDARG00000061976.8
E9QGE3	Ensembl	ENSDARG00000011510.9
E9QHU2	Ensembl	ENSDARG00000014386.10
F1QK20	Ensembl	ENSDARG00000093491.3
F1QK54	Ensembl	ENSDARG00000028517.9
F1QXQ9	Ensembl	ENSDARG00000061728.8
F6PAZ7	Ensembl	ENSDARG00000095170.4
I3ISM2	Ensembl	ENSDARG00000096366.2
U3JAA6	Ensembl	ENSDARG00000094146.4
A5PMV7	Ensembl	ENSDARG00000007791.10
B0R048	Ensembl	ENSDARG00000056331.7
B8A6E2	Ensembl	ENSDARG00000092721.2
F6PA60	Ensembl	ENSDARG00000088301.6
I3ISH9	Ensembl	ENSDARG00000007179.12
Q1L884	Ensembl	ENSDARG00000007990.11
A5WW33	Ensembl	ENSDARG00000036773.7
A5WWM3	Ensembl	ENSDARG00000077395.6
A8E7K8	Ensembl	ENSDARG00000013613.12
B0UYG2	Ensembl	ENSDARG00000032072.8
F6NS95	Ensembl	ENSDARG00000093237.4
F6PAN1	Ensembl	ENSDARG00000055543.8
I3ISF5	Ensembl	ENSDARG00000052617.8
R4GDQ9	Ensembl	ENSDARG00000096543.2
R4GDT1	Ensembl	ENSDARG00000008573.11
F8W5C3	Ensembl	ENSDARG00000087143.4
B8A5C4	Ensembl	ENSDARG00000030368.10
E7EZT8	Ensembl	ENSDARG00000070059.5
E7F131	Ensembl	ENSDARG00000112880.1
E7F4B5	Ensembl	ENSDARG00000090340.3
F1Q9X4	Ensembl	ENSDARG00000062056.8
F1QGW2	Ensembl	ENSDARG00000021611.10
F1QH12	Ensembl	ENSDARG00000078512.6
F1QUV1	Ensembl	ENSDARG00000088181.3
F1R2T6	Ensembl	ENSDARG00000036675.7
F1RDK3	Ensembl	ENSDARG00000037932.8
F1RDZ8	Ensembl	ENSDARG00000027183.10
E7EZR3	Ensembl	ENSDARG00000036005.6
E7F390	Ensembl	ENSDARG00000071406.5
E7F685	Ensembl	ENSDARG00000036473.7
E7FAS0	Ensembl	ENSDARG00000032344.7
E7FF59	Ensembl	ENSDARG00000077327.5
E7FG97	Ensembl	ENSDARG00000087224.5
E7FGV0	Ensembl	ENSDARG00000086712.3
F1QAZ7	Ensembl	ENSDARG00000003021.10
F1QC36	Ensembl	ENSDARG00000057688.8
F1QFD3	Ensembl	ENSDARG00000074360.5
F1QFP1	Ensembl	ENSDARG00000017844.7
F1QJG3	Ensembl	ENSDARG00000094840.4
F1QVQ2	Ensembl	ENSDARG00000016936.12
F1QXG5	Ensembl	ENSDARG00000056464.5
F1R2F3	Ensembl	ENSDARG00000079423.6
F1R685	Ensembl	ENSDARG00000002402.10
F1R7F2	Ensembl	ENSDARG00000076183.5
A3QK09	Ensembl	ENSDARG00000059657.6
B0S5D8	Ensembl	ENSDARG00000037177.6
B0V1J6	Ensembl	ENSDARG00000075416.4
B1WB96	Ensembl	ENSDARG00000069280.7
B8A6H1	Ensembl	ENSDARG00000060481.7
B8JKQ0	Ensembl	ENSDARG00000061629.7
F6NJC6	Ensembl	ENSDARG00000045911.9
Q5RIX5	Ensembl	ENSDARG00000016231.8
Q6PC59	Ensembl	ENSDARG00000044199.6
E9QG37	Ensembl	ENSDARG00000032614.11
A0A1L1QZB4	Ensembl	ENSDARG00000059950.7
E7F8N0	Ensembl	ENSDARG00000090980.4
F1R692	Ensembl	ENSDARG00000071652.6
X1WBH7	Ensembl	ENSDARG00000097446.3
X1WCU9	Ensembl	ENSDARG00000079581.5
X1WF51	Ensembl	ENSDARG00000089586.4
X1WFB8	Ensembl	ENSDARG00000097125.2
E9QBI4	Ensembl	ENSDARG00000008014.9
F1QPK3	Ensembl	ENSDARG00000074930.5
F1QRU8	Ensembl	ENSDARG00000068874.7
F1R1G8	Ensembl	ENSDARG00000056322.9
E9QH23	Ensembl	ENSDARG00000036144.7
E9QIB4	Ensembl	ENSDARG00000036064.5
F1QFZ0	Ensembl	ENSDARG00000091025.3
F1QJS5	Ensembl	ENSDARG00000006522.11
F1QK66	Ensembl	ENSDARG00000054658.7
F1QRZ9	Ensembl	ENSDARG00000078966.5
F1R567	Ensembl	ENSDARG00000004451.11
F1R8Q9	Ensembl	ENSDARG00000113632.1
F1RC40	Ensembl	ENSDARG00000055543.8
A5WW58	Ensembl	ENSDARG00000035694.9
A8DZB8	Ensembl	ENSDARG00000095667.2
B0S6X0	Ensembl	ENSDARG00000013063.11
B0V1I2	Ensembl	ENSDARG00000011521.9
B3DKC8	Ensembl	ENSDARG00000045129.8
F6NIT0	Ensembl	ENSDARG00000044973.8
F6NMJ1	Ensembl	ENSDARG00000087910.4
Q5RGB0	Ensembl	ENSDARG00000012390.7
A2AWD5	Ensembl	ENSDARG00000037061.5
A2BIG3	Ensembl	ENSDARG00000003281.7
A3KQR6	Ensembl	ENSDARG00000110137.1
A5PF55	Ensembl	ENSDARG00000077573.5
A5PMC8	Ensembl	ENSDARG00000021899.6
I3ISC0	Ensembl	ENSDARG00000001169.12
Q1L887	Ensembl	ENSDARG00000040861.8
Q1MTF9	Ensembl	ENSDARG00000021151.11
Q5RG88	Ensembl	ENSDARG00000079036.3
R4GDW7	Ensembl	ENSDARG00000012453.10
A0A0G2KTW5	Ensembl	ENSDARG00000105691.2
A0A0G2L2X0	Ensembl	ENSDARG00000101056.2
A0A0G2L8H2	Ensembl	ENSDARG00000088331.5
A0A0H2UKT9	Ensembl	ENSDARG00000039325.7
A0A0R4IGP9	Ensembl	ENSDARG00000030157.11
A0A0R4IQ00	Ensembl	ENSDARG00000099528.2
A0A0R4IQI9	Ensembl	ENSDARG00000102674.2
A0A0N4STP5	Ensembl	ENSDARG00000102829.2
A0A0R4IAV1	Ensembl	ENSDARG00000104388.2
A0A0R4ID51	Ensembl	ENSDARG00000103697.3
A0A0R4IE38	Ensembl	ENSDARG00000104390.3
A0A0R4IFE9	Ensembl	ENSDARG00000102066.3
A0A0R4IHC1	Ensembl	ENSDARG00000102447.2
A0A0R4IHX3	Ensembl	ENSDARG00000101368.2
A0A0R4IIL3	Ensembl	ENSDARG00000100555.2
A0A0R4INP3	Ensembl	ENSDARG00000075433.5
A0A0R4IP61	Ensembl	ENSDARG00000100223.2
A0A0R4IP81	Ensembl	ENSDARG00000113501.1
A0A0R4IP87	Ensembl	ENSDARG00000100915.2
A0A0R4IPN8	Ensembl	ENSDARG00000116491.1
A0A0R4IQW7	Ensembl	ENSDARG00000099280.2
A0A0R4IS45	Ensembl	ENSDARG00000103149.3
A0A0R4IUP0	Ensembl	ENSDARG00000076765.4
A0A0R4IWQ3	Ensembl	ENSDARG00000103056.3
A0A0R4IXX9	Ensembl	ENSDARG00000074365.5
A0A0R4IY87	Ensembl	ENSDARG00000098140.2
A0A0R4IYX1	Ensembl	ENSDARG00000039429.8
A0A140LG18	Ensembl	ENSDARG00000013360.11
A0A1C7CYU0	Ensembl	ENSDARG00000068678.7
A0A1D5NSD1	Ensembl	ENSDARG00000077644.5
